subject_id,time,Alistipes_putredinis,Bacteroides_caccae,Bacteroides_dorei,Bacteroides_fragilis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_uniformis,Bacteroides_vulgatus,Eubacterium_rectale,Faecalibacterium_prausnitzii,Parabacteroides_distasonis,Prevotella_copri,others
M2027,24,0.000270501975149382,0.0153247451650466,0.00404492057102859,0.00635173123958338,0.000869486030081759,0,0.0317541298700459,0.0454493970015233,0.00181721287050553,0.0767933553506853,0.0131490902350404,0.756338718046954,0.0478367116443556
M2027,26,0.000166225655368128,0.0067804121959392,0.0011850949976344,0.00243211505873379,0.000553939897521119,0,0.0163690768731403,0.0357792532033934,0,0.0530388714654113,0.00247634724692308,0.842069463538916,0.0391491998670195
M2027,36,0.000276719134702524,0.0163078268635741,0.00683116864281403,0.00201123208537873,0.00479734080583597,0,0.0509814806270857,0.0804102926065755,0.00369172542525467,0.0319365200209394,0.00695455195619829,0.665950083567497,0.129851058264144
M2028,0,0.109941273437271,0.0350868721258306,0,5.0388341901276e-05,0.0337433929598878,0.0408565472249513,0.274168531997594,0.145515967698134,0.0128126006126593,0.0982257739937999,0.000193260286333852,0,0.249405391321637
M2028,2,0.0967178836696611,0.0354656610302822,0,0,0.0347830505147561,0.069366861652658,0.397021487030558,0.198232239687285,0.00134365605098088,0.0184213319520525,0,0,0.148647828411767
M2028,6,0.186639603621492,0.0492832936695267,0.0140490176516106,0,0.0240202269191523,0.0474098074237019,0.413717634252658,0.091314964691912,0.0125461122169391,0.0270230974756299,0.000421681420953846,0,0.133574560656424
M2028,24,0.0866366292866583,0.0694077524169105,0,0,0.0373405841407944,0.0365745995328487,0.201302437337078,0.253459320470913,0.00791777553529483,0.0337490304842213,0,0.000403971242031171,0.27320789955325
M2028,26,0.0468555709246263,0.078885239491928,0,0,0.0380580401546763,0.0292508153584881,0.276942778788582,0.325119867644228,0.0389614022247386,0.00823982132293972,0,0,0.157686464089793
M2028,36,0.0669490140739307,0.0440146402410683,0,0,0.0363600377706654,0.143608612868256,0.26028456549954,0.147338876899935,0.075334255724129,0.0101693533214025,0.000128446887835913,0,0.215812196713237
M2039,0,0.0751946318877537,0.00979008104951626,9.27631586324427e-06,0.00647221809658357,0.000651176986092356,0.127237006506367,0.124930261982528,0.236019547134337,0.0111973287472315,0.1652876386771,0.0082015884110884,0,0.235009244205539
M2039,2,0.0378024674802875,0.00977010480212417,0,0.0101433574488958,0.00115736551385506,0.245329023418024,0.121900765409905,0.341092928515867,0.0291073544987682,0.0436755000773829,0.0177022780812878,0,0.142318854753602
M2039,10,0.0762162255448503,0.0510397527373955,0,0.0110417915862967,0.0032279433071574,0.183902164149812,0.239343502694251,0.25339079034292,0.000389307762636248,0.00330028632181223,0.0112020298587014,0,0.166946205694168
M2039,26,0.0973104062693688,0.0258732019486213,0,0.0159715980866406,0.00182266877875657,0.280945996493738,0.209062685133667,0.156048403368516,0.00225005804020639,0.0180582277867023,0.0184938689717308,0,0.174162885122053
M2039,24,0.0299982424588094,0.0128616515490422,0,0.00544324768167184,0.00149786011921526,0.135841825807251,0.0969506096041367,0.133579594300395,0.00930368228990483,0.347008296558862,0.0110098207872287,0,0.216505168843484
M2039,16,0.0423382133009465,0.0298266656279045,0,0.0102341220879683,0.00368841081673478,0.212438230392207,0.137402865171695,0.279612118972084,0.0067289038180749,0.0372753551066734,0.0177558872749827,0,0.222699227430728
M2041,0,0.00129933935451197,0.0221228803216254,0.00957193033711089,0.0157968403510132,0.0457303042637212,0.00160122431457115,0.209302390910825,0.210373786553388,0.00130796750558046,0.0209474452295505,0.0259870880722533,0.0153289136465546,0.420629889139295
M2041,2,0,0.0383182580789275,0,0.00710115191710311,0.0664458544322614,0,0.286266988286379,0.210658668224412,0.00469683833466984,0.0144411482530811,0.0282768490053305,9.94348085307432e-06,0.343784299986983
