subject_id,time,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Cyanobacteria,Epsilonproteobacteria,Erysipelotrichi,Flavobacteria,Fusobacteria,Gammaproteobacteria,Unclassified
17,48,0.000915362,0.0000334,0,0.700140182,0.00076414,0.018733393,0,0,0,0.0000156,0.0000887,0.278829611,0.000479611
17,49,0.000724739,0.000029,0.075192216,0.508363879,0.000704039,0.021247712,0,0,0,0.0000117,0.0000865,0.393199987,0.00044017
17,50,0.000448005,0.0000196,0.253935561,0.201815422,0.00053915,0.022266463,0,0,0,0.00000661,0.0000647,0.520550379,0.000354124
18,41,0.008339267,0.009766585,0.539842121,0,0.019061932,0.027469029,0.003979883,0,0,0.009732655,0.004434753,0.375800512,0.001131055
18,42,0.007414779,0.008667781,0.405448569,0,0.017088768,0.022169268,0.003525977,0,0,0.008620934,0.003933994,0.521859765,0.000878388
18,43,0.006691114,0.007786562,0.300169219,0,0.015520795,0.018040247,0.003161435,0,0,0.007727999,0.003532242,0.636349685,0.000669432
18,44,0.006114839,0.007061002,0.216788947,0,0.014244309,0.01477483,0.002860767,0,0,0.006991437,0.003201302,0.727153128,0.000491576
18,45,0.005650809,0.006449554,0.15074406,0,0.013183134,0.012171951,0.002606867,0,0,0.006369366,0.002922256,0.799275866,0.000336486
18,46,0.005275074,0.005923023,0.09914464,0,0.0122838,0.010095689,0.002387709,0,0,0.005832349,0.00268181,0.855912121,0.000198484
18,47,0.004970853,0.005459987,0.060228451,0,0.01150708,0.008451977,0.002194475,0,0,0.005358794,0.00247021,0.899040695,0.0000736
18,48,0.004725946,0.005043911,0.033040707,0,0.010822541,0.007174323,0.002020359,0,0,0.004932048,0.002279929,0.929735752,0
18,49,0.004531247,0.004661532,0.017239906,0,0.010205484,0.006214994,0.001859914,0,0,0.004538784,0.002104929,0.948436553,0
18,50,0.004285947,0.004209739,0.012683534,0.021579353,0.009428656,0.005420207,0.001672054,0,0,0.004078755,0.00189867,0.934557302,0
20,41,0,0,0,0,0.00000296,0.378559835,0.00000832,0,0,0,0,0.620130406,0.001298481
20,42,0,0,0,0,0,0.345888326,0.00000853,0,0,0,0,0.652655771,0.00144737
20,43,0,0,0,0,0,0.309702175,0.00000874,0,0,0,0,0.688656857,0.001632226
20,44,0,0,0,0,0,0.272451093,0.00000897,0,0,0,0,0.725670112,0.001869828
20,45,0,0,0,0,0,0.235332495,0.00000916,0,0,0,0,0.762488626,0.00216972
20,46,0,0,0,0,0,0.202210751,0.00000926,0,0,0,0,0.795232741,0.002547243
20,47,0,0,0.080458599,0,0,0.16555312,0.00000846,0,0,0,0,0.751204733,0.002775089
20,48,0,0,0.200137977,0,0,0.14072122,0.00000706,0,0,0,0,0.656261888,0.002871857
20,49,0,0,0.303794288,0,0,0.1359207,0.00000553,0,0,0,0,0.557320129,0.002959354
20,50,0,0,0.383793295,0,0,0.149436546,0.0000039,0,0,0,0,0.463726185,0.003040072
21,41,0.013364858,0.0000719,0.183041425,0.000169978,0,0,0,0,0,0,0.0000105,0.80238285,0.000958498
21,42,0.012295356,0.0000674,0.15287899,0.000162183,0,0,0,0,0,0,0.0000145,0.833584777,0.000996777
21,43,0.011325667,0.0000634,0.118621686,0.000155341,0,0.003223685,0,0,0,0,0.0000184,0.865552569,0.001039324
21,44,0.010346779,0.0000592,0.085173502,0.000147994,0,0.018886549,0,0,0,0,0.0000219,0.884287291,0.001076805
